objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,198.2566577,0.139969739,19.0635,17.07914,16.21162,15.86859,15.69082,8.39493E+18,STAR,0.000840595
1.23765E+18,198.2688715,0.162579872,18.68336,17.7781,17.54988,17.46943,17.47075,8.39493E+18,STAR,0.000911073
1.23765E+18,198.2756057,0.065886209,18.59043,17.67612,17.42911,17.3334,17.31746,8.39493E+18,STAR,0.000295893
1.23765E+18,198.1894992,0.189733725,19.28312,17.36975,16.44178,16.02733,15.71826,3.32259E+17,GALAXY,0.08414438
1.23765E+18,198.3033509,0.137068682,18.83544,17.92312,17.65671,17.40733,17.38681,3.32271E+17,GALAXY,0.07241754
1.23765E+18,198.3688005,0.126006568,19.20066,18.07387,17.49097,17.12551,16.8873,3.32271E+17,GALAXY,0.09806354
1.23765E+18,198.4942224,0.02310623,18.93314,17.7516,17.22419,16.91107,16.70231,3.32276E+17,GALAXY,0.08155919
1.23765E+18,198.6920394,0.149570707,18.17033,17.14717,16.82215,16.70669,16.67414,8.39496E+18,STAR,0.000111068
1.23765E+18,198.7556945,0.209894142,16.86119,15.58894,15.08466,14.87305,14.78291,3.26639E+18,STAR,0.000353753
1.23765E+18,198.8533518,0.130925013,18.98432,17.59843,17.09209,16.91911,16.85103,8.39497E+18,STAR,0.000213229
1.23765E+18,198.8697268,0.018527464,18.49984,17.60445,17.32014,17.21494,17.20884,8.39474E+18,STAR,0.000379026
1.23765E+18,198.7431484,0.153480306,19.21808,17.87149,17.14873,16.70148,16.43555,3.32278E+17,GALAXY,0.06665725
1.23765E+18,198.9863609,0.076683524,19.28083,17.89408,17.3712,17.1684,17.10137,8.39497E+18,STAR,4.52E-05
1.23765E+18,198.9731064,0.156954371,19.44781,17.38915,16.44744,16.0182,15.70306,3.32282E+17,GALAXY,0.08220764
1.23765E+18,199.095057,0.061616791,18.41603,17.40368,17.11084,16.98485,16.99989,8.39498E+18,STAR,0.000162814
1.23765E+18,199.1803092,0.151832992,18.84659,17.72747,17.29601,17.07508,16.98334,8.39498E+18,STAR,0.000429107
1.23765E+18,199.1122613,0.13475629,19.20909,17.98605,17.54325,17.26686,17.16547,3.32283E+17,GALAXY,0.09879459
1.23765E+18,199.3213057,0.036510804,16.70948,15.45579,15.48996,15.55529,15.60993,8.39472E+18,STAR,0.000745905
1.23765E+18,199.2149176,0.080640154,19.48355,17.42584,16.6033,16.28563,16.12425,8.39498E+18,STAR,4.58E-05
1.23765E+18,199.3770663,0.208873707,18.20745,16.36312,15.54315,15.15106,14.84291,3.32293E+17,GALAXY,0.03336366
1.23765E+18,199.3998967,0.205845434,18.96947,17.38562,16.77144,16.54073,16.45086,8.39498E+18,STAR,0.000251532
1.23765E+18,199.3953623,0.017654747,19.29008,18.18824,18.09201,18.06642,18.19579,8.39471E+18,STAR,0.000156027
1.23765E+18,199.6265596,0.098292612,18.97108,17.90502,17.29983,16.87753,16.72084,3.33364E+17,GALAXY,0.1497523
1.23765E+18,199.6694268,0.06551566,17.16881,16.10329,15.67805,15.51337,15.45611,3.7234E+18,STAR,0.000127928
1.23765E+18,199.8174185,0.033971171,17.01418,15.85388,15.38355,15.17597,15.10927,3.7234E+18,STAR,0.000184797
1.23765E+18,199.9016636,0.181678745,19.15807,17.26506,16.418,15.99765,15.67469,3.33382E+17,GALAXY,0.05369467
1.23765E+18,200.0369769,0.143984758,18.82889,17.06561,16.2411,15.81705,15.57065,3.33393E+17,GALAXY,0.1104037
1.23765E+18,200.0413785,0.044724145,19.1421,17.76149,17.26384,16.93268,16.76582,3.33402E+17,GALAXY,0.07397862
1.23765E+18,200.0823811,0.103338209,18.56247,17.61086,17.23717,17.0967,17.03314,3.72348E+18,STAR,0.000347395
1.23765E+18,200.3469212,0.07817285,17.59518,16.42386,15.84675,15.47183,15.2931,3.33403E+17,GALAXY,0.08501464
1.23765E+18,200.290633,0.18722683,19.26316,17.97497,18.12447,18.28731,18.39492,3.72349E+18,STAR,0.000344215
1.23765E+18,200.466288,0.139377492,17.31597,15.43024,14.59155,14.20953,13.90574,3.33405E+17,GALAXY,0.03465883
1.23765E+18,200.6354729,0.066365965,17.86602,16.72052,16.28751,16.12829,16.08474,3.3448E+17,STAR,5.66E-06
1.23765E+18,200.6778635,0.159331586,18.42142,16.49097,15.46876,15.04127,14.68896,3.3342E+17,GALAXY,0.1078505
1.23765E+18,200.9716205,0.125724391,17.91747,16.94769,16.78027,16.72978,16.76609,3.7235E+18,STAR,0.000251386
1.23765E+18,200.8703305,0.076979518,19.22977,17.37499,16.48125,16.06194,15.76389,3.3342E+17,GALAXY,0.07726939
1.23765E+18,200.883436,0.071812147,19.30154,17.32764,16.41499,15.99303,15.66218,3.34467E+17,GALAXY,0.07836134
1.23765E+18,200.9042804,0.065744507,19.34014,18.06666,17.52204,17.28533,17.18225,3.72349E+18,STAR,0.000786296
1.23765E+18,201.0222395,0.066966364,19.06102,17.8822,17.52024,17.23383,17.22087,3.33429E+17,GALAXY,0.07752987
1.23765E+18,201.1880829,0.006162158,18.95079,17.73384,17.28639,17.1299,17.10746,3.7235E+18,STAR,2.33E-05
1.23765E+18,201.2047989,0.069663786,17.69135,16.26939,15.66004,15.38859,15.27096,3.7235E+18,STAR,0.000359499
1.23765E+18,201.2725984,0.175961322,18.78925,17.69338,17.36025,17.1067,17.06291,3.34501E+17,GALAXY,0.06173803
1.23765E+18,95.51619287,1.350967038,17.7178,16.05344,15.16819,14.89321,14.61744,1.41767E+18,STAR,3.44E-05
1.23765E+18,95.51925147,1.32921178,17.97407,16.40579,15.61678,15.31425,15.04014,1.41767E+18,STAR,8.60E-05
